Model,NDCG@5,NDCG@10,std,Type,Gain
XGBoost LambdaMART,1.0000,1.0,1.4043333874306804e-16,Baseline,
LightGBM (tuned),1.0000,1.0,1.4043333874306804e-16,Tuned,2.220446049250313e-16
LightGBM LambdaRank,1.0000,0.9999999999999998,1.4043333874306804e-16,Baseline,
CatBoost YetiRank,1.0000,0.9999999999999998,1.4043333874306804e-16,Baseline,
Random Forest,1.0000,0.9999999999999998,1.4043333874306804e-16,Baseline,
XGBoost (tuned),1.0000,0.9995334573239708,0.0009330853520584714,Tuned,-0.0004665426760291913
Ridge Regression,1.0000,0.9990003273723123,0.0012302746496434384,Baseline,
